ADM1_NAME,ADM2_NAME,year,month,tropospheric_NO2_column_number_density
Ashanti,Obuasi Municipal,2019.0,1.0,2.6775737031041087E-5
Ashanti,Atwima Nwabiagya,2019.0,1.0,3.4700932057463724E-5
Ashanti,Atwima Mponua,2019.0,1.0,2.3777322427427852E-5
Ashanti,Adansi South,2019.0,1.0,2.4753136538283353E-5
Ashanti,Adansi North,2019.0,1.0,2.5818071502972416E-5
Ashanti,Bosome Freho,2019.0,1.0,2.7914842369081302E-5
Ashanti,Bekwai Municipal,2019.0,1.0,2.9709950321569995E-5
Ashanti,Amansie Central,2019.0,1.0,2.605536874627845E-5
Western,Wassa Amenfi West,2019.0,1.0,1.959627258448007E-5
Ashanti,Afigya Kwabre,2019.0,1.0,3.71446975125758E-5
Ashanti,Atwima Kwanwoma,2019.0,1.0,3.8430068708750864E-5
Ashanti,Afigya Sekyere,2019.0,1.0,3.621880481487693E-5
Ashanti,Sekyere Central,2019.0,1.0,5.96028475596394E-5
Ashanti,Offinso North,2019.0,1.0,3.2431319842019604E-5
Ashanti,Offinso Municipal,2019.0,1.0,2.979534207127013E-5
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,1.0,3.125656925847298E-5
Ashanti,Mampong Municipal,2019.0,1.0,4.545486300290118E-5
Western,Ellembelle,2019.0,1.0,1.7435450731727002E-5
Western,Prestea / Huni Valley,2019.0,1.0,2.2140164418281193E-5
Western,Nzema East,2019.0,1.0,1.897847372978185E-5
Western,Tarkwa Nsuaem,2019.0,1.0,2.2557410163223306E-5
Western,Sefwi Akontombra,2019.0,1.0,2.0315346200486577E-5
Western,Sekondi Takoradi,2019.0,1.0,2.6292410192794057E-5
Western,Sefwi-Wiawso,2019.0,1.0,2.0159248108045415E-5
Western,Shama,2019.0,1.0,3.189329762794683E-5
Ashanti,Sekyere East,2019.0,1.0,3.304677157603303E-5
Western,Aowin,2019.0,1.0,1.8609039479778134E-5
Western,Suaman,2019.0,1.0,2.0971204312520532E-5
Western,Bia East,2019.0,1.0,1.9236695836244344E-5
Western,Bia West,2019.0,1.0,1.9413981851267565E-5
Western,Bodi,2019.0,1.0,2.012608162153995E-5
Western,Juabeso,2019.0,1.0,2.0138909128597087E-5
Western,Wassa East,2019.0,1.0,2.2841540222044538E-5
Western,Mpohor,2019.0,1.0,2.1644459890670252E-5
Western,Wassa Amenfi Central,2019.0,1.0,2.138154027104419E-5
Ashanti,Sekyere Afram Plains,2019.0,1.0,3.793157513534251E-5
Ashanti,Sekyere Afram Plains North,2019.0,1.0,6.724828883000947E-5
Ashanti,Asante Akim North,2019.0,1.0,4.011663395462766E-5
Ashanti,Asante Akim Central Municipal,2019.0,1.0,2.9390802100239975E-5
Ashanti,Asokore Mampong Municipal,2019.0,1.0,5.3224803646778116E-5
Ashanti,Kma,2019.0,1.0,4.8530671915072454E-5
Western,Wassa Amenfi East,2019.0,1.0,2.3789568513458453E-5
Ashanti,Kwabre,2019.0,1.0,4.445215307647796E-5
Ashanti,Ejura Sekye Dumase,2019.0,1.0,4.86719567897158E-5
Ashanti,Ahafo Ano South,2019.0,1.0,2.673010005555988E-5
Western,Jomoro,2019.0,1.0,1.7257481532569818E-5
Western,Ahanta West,2019.0,1.0,1.952185869296558E-5
Western,Sefwi Bibiani-Anhwiaso Bekwai,2019.0,1.0,2.423531084451158E-5
Ashanti,Amansie West,2019.0,1.0,2.7648192046602237E-5
Ashanti,Asante Akim South,2019.0,1.0,2.8639785188707074E-5
Ashanti,Ahafo Ano North,2019.0,1.0,2.507186676727961E-5
Ashanti,Ejisu Juaben,2019.0,1.0,3.281899724457566E-5
