ADM1_NAME,ADM2_NAME,year,month,SO2_column_number_density
Ashanti,Obuasi Municipal,2019.0,1.0,1.2357822406021187E-5
Ashanti,Atwima Nwabiagya,2019.0,1.0,-6.329918911755074E-6
Ashanti,Atwima Mponua,2019.0,1.0,3.4218013121972673E-6
Ashanti,Adansi South,2019.0,1.0,5.103500588006502E-7
Ashanti,Adansi North,2019.0,1.0,1.2678679214755978E-5
Ashanti,Bosome Freho,2019.0,1.0,-1.3856123827617445E-5
Ashanti,Bekwai Municipal,2019.0,1.0,-5.0020216230413385E-6
Ashanti,Amansie Central,2019.0,1.0,8.019890719226253E-6
Western,Wassa Amenfi West,2019.0,1.0,1.4175458680609057E-5
Ashanti,Afigya Kwabre,2019.0,1.0,-1.646144659660295E-5
Ashanti,Atwima Kwanwoma,2019.0,1.0,2.425025866605494E-5
Ashanti,Afigya Sekyere,2019.0,1.0,1.6257800737290963E-6
Ashanti,Sekyere Central,2019.0,1.0,3.546276988837925E-5
Ashanti,Offinso North,2019.0,1.0,1.0944960419101718E-5
Ashanti,Offinso Municipal,2019.0,1.0,-6.614562671573716E-6
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,1.0,-9.96201085604079E-6
Ashanti,Mampong Municipal,2019.0,1.0,6.571162479311061E-5
Western,Ellembelle,2019.0,1.0,6.15356714405847E-6
Western,Prestea / Huni Valley,2019.0,1.0,-3.091938497346006E-6
Western,Nzema East,2019.0,1.0,1.5181801077039814E-5
Western,Tarkwa Nsuaem,2019.0,1.0,-1.7763436550993897E-5
Western,Sefwi Akontombra,2019.0,1.0,3.599200084931502E-5
Western,Sekondi Takoradi,2019.0,1.0,-1.2682177373750495E-5
Western,Sefwi-Wiawso,2019.0,1.0,6.898689029094837E-6
Western,Shama,2019.0,1.0,-3.497742370248072E-5
Ashanti,Sekyere East,2019.0,1.0,-9.975124066533196E-6
Western,Aowin,2019.0,1.0,-1.5110983665819195E-7
Western,Suaman,2019.0,1.0,9.552810822142722E-6
Western,Bia East,2019.0,1.0,5.257105083932065E-6
Western,Bia West,2019.0,1.0,1.944440501495583E-5
Western,Bodi,2019.0,1.0,2.0342429414151433E-5
Western,Juabeso,2019.0,1.0,5.250507547553171E-6
Western,Wassa East,2019.0,1.0,2.701086397374423E-7
Western,Mpohor,2019.0,1.0,-3.5492906172895115E-5
Western,Wassa Amenfi Central,2019.0,1.0,-3.7005315867585286E-6
Ashanti,Sekyere Afram Plains,2019.0,1.0,9.529070601524008E-6
Ashanti,Sekyere Afram Plains North,2019.0,1.0,1.7780997229665574E-5
Ashanti,Asante Akim North,2019.0,1.0,1.2197413075675792E-5
Ashanti,Asante Akim Central Municipal,2019.0,1.0,-2.371506350124012E-5
Ashanti,Asokore Mampong Municipal,2019.0,1.0,7.654660915261247E-6
Ashanti,Kma,2019.0,1.0,5.061642764458676E-5
