district,region,mean_PRS,mean_aerosol,mean_no2,mean_ndvi,mean_bsi,prs_2019,prs_2024,prs_change,risk_tier,rank
Asokore Mampong Municipal,Ashanti,0.3916993715233383,-0.09239578865223219,2.7852031565697756e-05,0.19852221166199344,0.07035915328646308,0.3077577316743404,0.47578880503033044,0.16803107335599005,Critical,1
Kma,Ashanti,0.37714297516320866,-0.11352982612997613,2.6232701974164532e-05,0.19795985726092047,0.07144706501264292,0.29996404818822775,0.4585876914364148,0.15862364324818706,Critical,2
Kwabre,Ashanti,0.3507460278620242,-0.18694586169956312,2.3503656088519794e-05,0.3155749838830123,0.016578457381361,0.2646836853476587,0.44294502360268245,0.17826133825502377,Critical,3
Afigya Kwabre,Ashanti,0.31737289526189727,-0.28848708091063785,1.9966071215791438e-05,0.44974412699975314,-0.06009197866789213,0.2396589769768005,0.4061562719925069,0.16649729501570643,Critical,4
Atwima Kwanwoma,Ashanti,0.31673331947865646,-0.2808933993630275,1.923734228594643e-05,0.3922429315401941,-0.0354809732917653,0.23772403069061335,0.40238927539517605,0.1646652447045627,Critical,5
Sekyere Afram Plains North,Ashanti,0.3161867979055549,-0.3045575703817586,2.0816216405277885e-05,0.42313169136744866,-0.0423891978372788,0.2366764036815587,0.411861315291106,0.17518491160954727,Critical,6
Ejura Sekye Dumase,Ashanti,0.3160405366577911,-0.2509612894542483,1.875478172630761e-05,0.36895787011267367,0.032006919056670094,0.24810723225302622,0.39751273360453626,0.14940550135151004,Critical,7
Sekyere Central,Ashanti,0.31446870232378044,-0.3007092492285146,2.0270094640203715e-05,0.4201036529356071,-0.021943098803048698,0.24105312597070683,0.3977097402432888,0.15665661427258198,Critical,8
Atwima Nwabiagya,Ashanti,0.3084047558526863,-0.30964299426713077,1.9288688125224393e-05,0.45008517624393396,-0.06975049510620752,0.22993941616835104,0.3955856266879884,0.16564621051963738,Critical,9
Shama,Western,0.3062280456804353,-0.38336924384222293,2.0871099298909573e-05,0.42563804227557134,-0.08199270232532122,0.23502767981588066,0.3843569557319461,0.14932927591606546,Critical,10
Mampong Municipal,Ashanti,0.3047118574448199,-0.3339013898272439,1.8601091462447344e-05,0.44545323816784765,-0.01911784511549143,0.23928492525646064,0.3918343768166694,0.15254945156020874,Critical,11
Ejisu Juaben,Ashanti,0.30207466245912956,-0.32176085417017714,1.8167216331542202e-05,0.46713033976616075,-0.08490476918593758,0.22610127926188103,0.3885514642151935,0.16245018495331245,Critical,12
Asante Akim North,Ashanti,0.2986137787285642,-0.3538893490624315,1.880867427901566e-05,0.4559223115149071,-0.05674020105540475,0.22453890239830285,0.38822733815009053,0.16368843575178768,Critical,13
Afigya Sekyere,Ashanti,0.29855979665200494,-0.3424000239735427,1.823332688967245e-05,0.5118379635632736,-0.09736392528408624,0.22512085873439114,0.38481105873180105,0.1596901999974099,High,14
Asante Akim Central Municipal,Ashanti,0.29713388635486004,-0.3354203618600307,1.672371130359796e-05,0.48245265420186784,-0.10725266117458751,0.21987015810767918,0.37538275263181253,0.15551259452413335,High,15
Sekondi Takoradi,Western,0.2970570887620821,-0.3174312998734893,1.5706977097732885e-05,0.3581234616002174,-0.026802069335637585,0.23308322887903676,0.36990740207929634,0.13682417320025958,High,16
Bosomtwe /Atwima / Kwanwoma,Ashanti,0.2950626267840443,-0.3567346409478609,1.720045130495992e-05,0.41130172411546334,-0.08704099435747527,0.22085965287254375,0.37573417152137534,0.1548745186488316,High,17
Offinso North,Ashanti,0.2946034851183643,-0.3414483519873521,1.6501444712481704e-05,0.46067061647817614,-0.043855952779071665,0.2243082265778599,0.37748157010971867,0.15317334353185877,High,18
Sekyere Afram Plains,Ashanti,0.293228015201285,-0.3842111240652116,1.8593069122452577e-05,0.48252722510113816,-0.07021463587775739,0.2138133142130738,0.3837362996360234,0.1699229854229496,High,19
